beam 0,beam 1,beam 2
0.4147433653427069,0.38787636910826634,0.41473393567086925
0.46780940195197057,0.44148670502881543,0.4677935666518343
0.5212262324513441,0.5101584179335579,0.5212035911325478
0.5209889364042536,0.506127196670826,0.5209638251234067
0.501747394858653,0.48852724444369133,0.5017169319933633
0.4798771104539191,0.46588220694887483,0.4798458242679459
0.511090185848247,0.5045859678937713,0.511065521191577
0.46425533625421805,0.4601696828090531,0.4641813546571404
0.6215749621780277,0.6343510717864764,0.6215000295003552
0.4648080166749282,0.47516106755776955,0.4648273405631423
