column 0,column 1,column 2,column 3
0.05284190132167804,0.05998093593685512,0.05998448494429734,0.05248284594835666
0.05413451851132467,0.06722523071870617,0.06722437574938862,0.05361815410903166
0.07702472654086223,0.08601599033509728,0.0860066330015817,0.07615237786767237
0.07868325385663721,0.08368008267621892,0.0836677627410535,0.07793858358242993
0.07526795639961338,0.08023595878888984,0.08022234888757603,0.07470917377951308
0.07137564013327968,0.07500158656899887,0.07498925987767867,0.07099059265919111
0.07229467166601121,0.0730097779656607,0.07299876445269386,0.07200401102099932
0.06612649879207955,0.061865730323565224,0.061860439674618045,0.06596810792014395
0.0955785902999468,0.08081099680156857,0.08078089542235135,0.09536280080350652
0.09104420274520987,0.042875603765942544,0.04288099742740612,0.09102442466704784
