column 0,column 1,column 2,column 3
0.13210476401500898,0.1408201245065307,0.14081707722719874,0.13210019217753743
0.10258424855603453,0.12711986957487323,0.12711755101749608,0.10258124671553126
0.14080016171080803,0.1618747080190954,0.161870717366614,0.14079150091701495
0.1383525802001469,0.14951117854061394,0.14950773622161462,0.13834791353348022
0.13537402080449462,0.145118861469657,0.1451148470125782,0.13536789382036765
0.12884884099608046,0.13653237865752307,0.13652672436462612,0.1288401637474032
0.1322175622485749,0.13504363981113696,0.1350392342555452,0.13220982037998985
0.12447880034530472,0.11583993904436643,0.11584081811695253,0.12449800737284508
0.16736694405411992,0.14814004824842908,0.14809818504114838,0.16726566131383422
0.1891362718305175,0.0959663160440219,0.09597379014558335,0.18914882031329183
