exterior column,interior column,beam
W14X730,W14X730,W36X247
W14X730,W14X730,W36X247
W14X500,W14X605,W36X210
W14X500,W14X605,W36X210
W14X500,W14X605,W36X210
W14X500,W14X605,W36X210
W14X455,W14X550,W27X217
W14X455,W14X550,W27X217
W14X257,W14X311,W21X147
W14X257,W14X311,W21X147
