floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
1157.365,95.0,60.0,2755.0,1740.0,338.9975,159.99
967.895,85.0,50.0,2465.0,1450.0,269.49249999999995,133.32500000000002
