floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
2184.7200000000003,110.0,50.0,3080.0,1400.0,383.28000000000014,160.95
2180.55,110.0,50.0,3080.0,1400.0,381.89000000000004,160.95
2180.55,110.0,50.0,3080.0,1400.0,381.89000000000004,160.95
2180.55,110.0,50.0,3080.0,1400.0,381.89000000000004,160.95
2180.55,110.0,50.0,3080.0,1400.0,381.89000000000004,160.95
2180.55,110.0,50.0,3080.0,1400.0,381.89000000000004,160.95
1376.25,70.0,60.0,1960.0,1680.0,239.23,193.14000000000001
