exterior column,interior column,beam
W14X176,W12X252,W27X178
W14X370,W14X455,W27X178
W14X193,W12X279,W21X132
W12X252,W14X283,W21X132
W14X176,W14X233,W21X111
W14X145,W14X193,W21X111
W14X53,W14X68,W21X68
