exterior column,interior column,beam
W14X342,W14X426,W21X201
W14X342,W14X426,W21X201
W14X193,W14X257,W21X147
W14X193,W14X257,W21X147
W14X176,W12X279,W21X111
W14X176,W12X279,W21X111
W14X53,W12X136,W21X68
