exterior column,interior column,beam
W12X136,W14X145,W18X86
W14X82,W12X136,W18X86
W12X136,W14X132,W18X65
W14X74,W12X120,W18X65
W14X68,W12X106,W14X68
W14X53,W14X68,W14X68
W12X35,W12X50,W12X35
W12X35,W14X38,W12X35
