exterior column,interior column,beam
W14X257,W14X311,W27X114
W14X257,W14X311,W27X114
W14X233,W14X283,W27X94
W14X233,W14X283,W27X94
W14X211,W14X257,W27X102
W14X211,W14X257,W27X102
W14X176,W14X257,W18X119
W14X176,W14X257,W18X119
W14X132,W14X132,W18X71
W14X132,W14X132,W18X71
