floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
1283.0249999999999,120.0,125.0,1800.0,1875.0,398.51249999999993,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1273.53,120.0,125.0,1800.0,1875.0,393.765,380.5
1042.2849999999999,100.0,125.0,1500.0,1875.0,318.6424999999999,380.5
