joint 0,joint 1,joint 2,joint 3,joint 4,joint 5,joint 6,joint 7,joint 8,joint 9
2.1000471846949718,1.5396301623688848,1.5285762551860183,1.528076622971506,1.5280851251153398,1.5280851251153398,1.528076622971506,1.5285762551860183,1.5396301623688848,2.1000471846949718
2.0057237757297517,1.417544434048578,1.4080351158556863,1.4076284350301242,1.4076342647377529,1.4076342647377529,1.4076284350301242,1.4080351158556863,1.417544434048578,2.0057237757297517
2.201367851293461,1.5258597585717204,1.5164928940328448,1.5160859438597265,1.5160924476296165,1.5160924476296165,1.5160859438597265,1.5164928940328448,1.5258597585717204,2.201367851293461
2.0586629901192914,1.4685388864201445,1.4608364782292087,1.460494349976189,1.4604990623246132,1.4604990623246132,1.460494349976189,1.4608364782292087,1.4685388864201445,2.0586629901192914
1.981127123180542,1.4623990208194086,1.4568308905330212,1.4565199156211632,1.4565242743973557,1.4565242743973557,1.4565199156211632,1.4568308905330212,1.4623990208194086,1.981127123180542
2.2686626540694594,1.633762644979208,1.6297967762793086,1.6294917888658023,1.629496819006276,1.629496819006276,1.6294917888658023,1.6297967762793086,1.633762644979208,2.2686626540694594
2.412666702330724,1.6156802860887172,1.613377497292005,1.6131396693489988,1.6131453022727815,1.6131453022727815,1.6131396693489988,1.613377497292005,1.6156802860887172,2.412666702330724
2.2618168812343584,1.4473846972632403,1.4468423914156934,1.4466799740908654,1.4466864380209064,1.4466864380209064,1.4466799740908654,1.4468423914156934,1.4473846972632403,2.2618168812343584
1.711567139333367,1.156934487781425,1.1580989970978044,1.1578976245746413,1.1579152580568493,1.1579152580568493,1.1578976245746413,1.1580989970978044,1.156934487781425,1.711567139333367
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
