exterior column,interior column,beam
W12X252,W14X283,W27X114
W12X279,W14X311,W27X114
W12X252,W14X283,W27X94
W12X252,W14X283,W27X94
W14X193,W14X257,W27X102
W14X193,W12X279,W27X102
W14X176,W14X233,W18X119
W12X190,W14X211,W18X119
W12X120,W12X152,W18X71
W14X38,W14X53,W18X71
