column 0,column 1,column 2,column 3,column 4,column 5,column 6,column 7,column 8,column 9
0.35360816311086735,0.18016809424399016,0.1865195622434183,0.186975657394534,0.18698451266629662,0.18698451266629662,0.186975657394534,0.1865195622434183,0.18016809424399016,0.35360816311086735
0.30006289393577923,0.1612709611401183,0.16768994060517986,0.16809970616658146,0.1681113803991,0.1681113803991,0.16809970616658146,0.16768994060517986,0.1612709611401183,0.30006289393577923
0.2757528036375659,0.15685063834042487,0.16336778361239424,0.16379305848444844,0.16380351956312844,0.16380351956312844,0.16379305848444844,0.16336778361239424,0.15685063834042487,0.2757528036375659
0.22509051094909457,0.13690264224598234,0.14276799826876416,0.14313851259629937,0.1431482264550737,0.1431482264550737,0.14313851259629937,0.14276799826876416,0.13690264224598234,0.22509051094909457
0.19540753931355118,0.12913360131222745,0.13461722164229273,0.13496043309017422,0.1349691368760355,0.1349691368760355,0.13496043309017422,0.13461722164229273,0.12913360131222745,0.19540753931355118
0.145366050327854,0.10778062698248249,0.11191210241712433,0.11220167972510384,0.11220991303605372,0.11220991303605372,0.11220167972510384,0.11191210241712433,0.10778062698248249,0.145366050327854
0.11987963544814596,0.08656409037704951,0.08919910273718964,0.089445749209502,0.08944986586497693,0.08944986586497693,0.089445749209502,0.08919910273718964,0.08656409037704951,0.11987963544814596
0.07822349622659718,0.06485009712402579,0.06656137904308226,0.06668825436481966,0.06669047735877613,0.06669047735877613,0.06668825436481966,0.06656137904308226,0.06485009712402579,0.07822349622659718
0.054053054005546636,0.08387203538568291,0.08547832097645539,0.08560277172565839,0.08560350513707175,0.08560350513707175,0.08560277172565839,0.08547832097645539,0.08387203538568291,0.054053054005546636
0.02102947216072556,0.0408880759191426,0.04121364182935052,0.0412589758223383,0.04125452951564485,0.04125452951564485,0.0412589758223383,0.04121364182935052,0.0408880759191426,0.02102947216072556
