joint 0,joint 1,joint 2,joint 3,joint 4,joint 5,joint 6,joint 7,joint 8,joint 9
2.0005784550590904,1.4995987740246315,1.4894230004031443,1.4887337892917085,1.4887173922892294,1.4887173922892294,1.4887337892917085,1.4894230004031443,1.4995987740246315,2.0005784550590904
2.022228681284934,1.4665177273305858,1.4565611891456027,1.455918860437026,1.4559017669098209,1.4559017669098209,1.455918860437026,1.4565611891456027,1.4665177273305858,2.022228681284934
2.4295096541227776,1.7157224412514818,1.7047102861059413,1.7040025652730968,1.7039846230547993,1.7039846230547993,1.7040025652730968,1.7047102861059413,1.7157224412514818,2.4295096541227776
2.4065061665865963,1.6517192005283854,1.6421210953720082,1.641517331405931,1.6415017375312881,1.6415017375312881,1.641517331405931,1.6421210953720082,1.6517192005283854,2.4065061665865963
2.1988926964206423,1.4669029728893634,1.4598013382662303,1.4593339654342046,1.4593214558268046,1.4593214558268046,1.4593339654342046,1.4598013382662303,1.4669029728893634,2.1988926964206423
2.0792006925308066,1.4983444811327609,1.4933468061042072,1.4929507554088157,1.4929416338200867,1.4929416338200867,1.4929507554088157,1.4933468061042072,1.4983444811327609,2.0792006925308066
2.4383815591572207,1.9220255448525476,1.9179930239932388,1.917646467978124,1.917640586009042,1.917640586009042,1.917646467978124,1.9179930239932388,1.9220255448525476,2.4383815591572207
2.175430934845685,1.4292084103873044,1.426904633684354,1.4267314411945338,1.4267290517512707,1.4267290517512707,1.4267314411945338,1.426904633684354,1.4292084103873044,2.175430934845685
3.2631580095671016,1.6573519131333467,1.6558260991309943,1.6556919998294233,1.6556949323465473,1.6556949323465473,1.6556919998294233,1.6558260991309943,1.6573519131333467,3.2631580095671016
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
