beam 0,beam 1,beam 2,beam 3,beam 4,beam 5,beam 6,beam 7,beam 8
0.16659999353741956,0.1624721285274507,0.16292132607741755,0.16288796712153625,0.16289187188938958,0.16288635138465976,0.1629498156834965,0.1619920770896851,0.1664489217170574
0.16072375102321818,0.16108048842450254,0.16113731749534946,0.16115838680261804,0.16115483699445995,0.16116242614480927,0.1611209459158441,0.16078791143893273,0.15458465912233266
0.17816821262719534,0.18026590713968832,0.1804871469903759,0.18049499384695328,0.18049518891870558,0.18049690132601667,0.18048047081365393,0.17956421477379197,0.16862749105802705
0.1728666051651164,0.17611664421008832,0.17637397180696296,0.17638534830356248,0.17638422111150837,0.17638916326168932,0.1763651352619178,0.17535245299611127,0.16024829534381696
0.15731127897160302,0.16102184002328424,0.1613658315207246,0.16136010630904637,0.16136020863426534,0.1613646100316013,0.161361750868001,0.16043273934414903,0.14165963089894112
0.14703725095408016,0.1533174426794817,0.15358879629223424,0.1535880629222504,0.15358700857216764,0.1535955077156781,0.1535680245636334,0.15279900272408764,0.13001842228836955
0.1372873482132035,0.14618965319699148,0.14653775946153874,0.1465616016754044,0.14656116928920246,0.14656287966448442,0.1465154750590116,0.14469778515374507,0.1232848363542198
0.128535833622707,0.13353244280758275,0.13388496722829762,0.1338849826695532,0.13388432450548746,0.13388902324513136,0.13387082521377414,0.13274055868765625,0.11633419479097315
0.15009598689598688,0.14142695422695423,0.14095843767087435,0.14093269785021648,0.14093625463326506,0.14093617141267364,0.14092863161021577,0.1403093275093275,0.13164029484029485
0.1335957047957048,0.13126901446901446,0.1310101374101374,0.13103925743925743,0.13104013104013104,0.13104100464100463,0.13107012467012466,0.1308112476112476,0.12848455728455727
