index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
0,W44X408,408,120,44.8,16.1,1.22,2.17,3.71,31.9,38700,2000,1730,18,1520,297,189,3.56,134,691000,4.33
1,W44X368,368,108,44.4,16,1.1,1.97,4.06,35.4,34700,1800,1560,17.9,1350,265,169,3.54,100,608000,4.28
2,W44X335,335,98.5,44,15.9,1.03,1.77,4.5,38,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,4.24
3,W44X290,290,85.4,43.6,15.8,0.865,1.58,5.02,45,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,4.2
4,W44X262,262,77.2,43.3,15.8,0.785,1.42,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,4.17
5,W44X230,230,67.8,42.9,15.8,0.71,1.22,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,4.13
6,W40X655,655,193,43.6,16.9,1.97,3.54,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,4.71
7,W40X593,593,174,43,16.7,1.79,3.23,2.58,19.1,50400,2760,2340,17,2520,481,302,3.8,445,997000,4.63
8,W40X503,503,148,42.1,16.4,1.54,2.76,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,4.5
9,W40X431,431,127,41.3,16.2,1.34,2.36,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,4.41
10,W40X397,397,117,41,16.1,1.22,2.2,3.66,28,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,4.38
11,W40X372,372,110,40.6,16.1,1.16,2.05,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.6,116,528000,4.33
12,W40X362,362,106,40.6,16,1.12,2.01,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.6,109,513000,4.33
13,W40X324,324,95.3,40.2,15.9,1,1.81,4.4,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,4.27
14,W40X297,297,87.3,39.8,15.8,0.93,1.65,4.8,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,4.22
15,W40X277,277,81.5,39.7,15.8,0.83,1.58,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,4.25
16,W40X249,249,73.5,39.4,15.8,0.75,1.42,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,4.21
17,W40X215,215,63.5,39,15.8,0.65,1.22,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,4.19
18,W40X199,199,58.8,38.7,15.8,0.65,1.07,7.39,52.6,14900,869,770,16,695,137,88.2,3.45,18.3,246000,4.12
19,W40X392,392,116,41.6,12.4,1.42,2.52,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,3.3
20,W40X331,331,97.7,40.8,12.2,1.22,2.13,2.86,28,24700,1430,1210,15.9,644,172,106,2.57,105,241000,3.21
21,W40X327,327,95.9,40.8,12.1,1.18,2.13,2.85,29,24500,1410,1200,16,640,170,105,2.58,103,239000,3.21
22,W40X294,294,86.2,40.4,12,1.06,1.93,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,3.16
23,W40X278,278,82.3,40.2,12,1.03,1.81,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65,192000,3.13
24,W40X264,264,77.4,40,11.9,0.96,1.73,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,3.12
25,W40X235,235,69.1,39.7,11.9,0.83,1.58,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,3.11
26,W40X211,211,62.1,39.4,11.8,0.75,1.42,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,3.07
27,W40X183,183,53.3,39,11.8,0.65,1.2,4.92,52.6,13200,774,675,15.7,331,88.3,56,2.49,19.3,118000,3.04
28,W40X167,167,49.3,38.6,11.8,0.65,1.03,5.76,52.6,11600,693,600,15.3,283,76,47.9,2.4,14,99700,2.98
29,W40X149,149,43.8,38.2,11.8,0.63,0.83,7.11,54.3,9800,598,513,15,229,62.2,38.8,2.29,9.36,80000,2.89
30,W36X925,925,272,43.1,18.6,3.02,4.53,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,5.3
31,W36X853,853,251,43.1,18.2,2.52,4.53,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,5.22
32,W36X802,802,236,42.6,18,2.38,4.29,2.1,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,5.15
33,W36X723,723,213,41.8,17.8,2.17,3.9,2.28,15,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,5.06
34,W36X652,652,192,41.1,17.6,1.97,3.54,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.1,593,1130000,4.96
35,W36X529,529,156,39.8,17.2,1.61,2.91,2.96,19.9,39600,2330,1990,16,2490,454,289,4,327,846000,4.8
36,W36X487,487,143,39.3,17.1,1.5,2.68,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,4.74
37,W36X441,441,130,38.9,17,1.36,2.44,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,4.69
38,W36X395,395,116,38.4,16.8,1.22,2.2,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,4.61
39,W36X361,361,106,38,16.7,1.12,2.01,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,4.58
40,W36X330,330,96.9,37.7,16.6,1.02,1.85,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,4.53
41,W36X302,302,89,37.3,16.7,0.945,1.68,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,4.53
42,W36X282,282,82.9,37.1,16.6,0.885,1.57,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.8,52.7,378000,4.5
43,W36X262,262,77.2,36.9,16.6,0.84,1.44,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,4.46
44,W36X247,247,72.5,36.7,16.5,0.8,1.35,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,4.42
45,W36X231,231,68.2,36.5,16.5,0.76,1.26,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,4.4
46,W36X387,387,114,39.1,12.7,1.42,2.56,2.48,22.9,26500,1610,1360,15.2,882,224,139,2.78,172,294000,3.44
47,W36X350,350,103,38.6,12.6,1.3,2.32,2.72,25,23600,1440,1220,15.1,780,199,124,2.75,129,257000,3.41
48,W36X318,318,93.4,38.2,12.4,1.18,2.13,2.91,27.5,21200,1300,1110,15.1,682,176,110,2.7,98.3,222000,3.33
49,W36X286,286,83.9,37.8,12.3,1.06,1.93,3.19,30.6,18900,1160,1000,15,602,156,97.9,2.68,72.8,194000,3.29
50,W36X256,256,75.3,37.4,12.2,0.96,1.73,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,3.24
51,W36X232,232,68,37.1,12.1,0.87,1.57,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,3.21
52,W36X210,210,61.9,36.7,12.2,0.83,1.36,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28,128000,3.18
53,W36X194,194,57,36.5,12.1,0.765,1.26,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,3.15
54,W36X182,182,53.6,36.3,12.1,0.725,1.18,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,3.13
55,W36X170,170,50,36.2,12,0.68,1.1,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,3.11
56,W36X160,160,47,36,12,0.65,1.02,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.5,12.4,90200,3.09
57,W36X150,150,44.3,35.9,12,0.625,0.94,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,3.06
58,W36X135,135,39.9,35.6,12,0.6,0.79,7.56,54.1,7800,509,439,14,225,59.7,37.7,2.38,7,68100,2.99
59,W33X387,387,114,36,16.2,1.26,2.28,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,4.49
60,W33X354,354,104,35.6,16.1,1.16,2.09,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,4.44
61,W33X318,318,93.7,35.2,16,1.04,1.89,4.23,28.7,19500,1270,1110,14.5,1290,250,161,3.71,84.4,357000,4.4
62,W33X291,291,85.6,34.8,15.9,0.96,1.73,4.6,31,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,4.34
63,W33X263,263,77.4,34.5,15.8,0.87,1.57,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,4.31
64,W33X241,241,71.1,34.2,15.9,0.83,1.4,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,4.29
65,W33X221,221,65.3,33.9,15.8,0.775,1.28,6.2,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,4.25
66,W33X201,201,59.1,33.7,15.7,0.715,1.15,6.85,41.7,11600,773,686,14,749,147,95.2,3.56,20.8,198000,4.21
67,W33X169,169,49.5,33.8,11.5,0.67,1.22,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.5,17.7,82400,3.03
68,W33X152,152,44.9,33.5,11.6,0.635,1.06,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,3.01
69,W33X141,141,41.5,33.3,11.5,0.605,0.96,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.7,64400,2.98
70,W33X130,130,38.3,33.1,11.5,0.58,0.855,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,2.94
71,W33X118,118,34.7,32.9,11.5,0.55,0.74,7.76,54.5,5900,415,359,13,187,51.3,32.6,2.32,5.3,48300,2.89
72,W30X391,391,115,33.2,15.6,1.36,2.44,3.19,19.7,20700,1450,1250,13.4,1550,310,198,3.67,173,366000,4.37
73,W30X357,357,105,32.8,15.5,1.24,2.24,3.45,21.6,18700,1320,1140,13.3,1390,279,179,3.64,134,324000,4.31
74,W30X326,326,95.9,32.4,15.4,1.14,2.05,3.75,23.4,16800,1190,1040,13.2,1240,252,162,3.6,103,287000,4.26
75,W30X292,292,86,32,15.3,1.02,1.85,4.12,26.2,14900,1060,930,13.2,1100,223,144,3.58,75.2,250000,4.22
76,W30X261,261,77,31.6,15.2,0.93,1.65,4.59,28.7,13100,943,829,13.1,959,196,127,3.53,54.1,215000,4.16
77,W30X235,235,69.3,31.3,15.1,0.83,1.5,5.02,32.2,11700,847,748,13,855,175,114,3.51,40.3,190000,4.13
78,W30X211,211,62.3,30.9,15.1,0.775,1.32,5.74,34.5,10300,751,665,12.9,757,155,100,3.49,28.4,166000,4.11
79,W30X191,191,56.1,30.7,15,0.71,1.19,6.35,37.7,9200,675,600,12.8,673,138,89.5,3.46,21,146000,4.06
80,W30X173,173,50.9,30.4,15,0.655,1.07,7.04,40.8,8230,607,541,12.7,598,123,79.8,3.42,15.6,129000,4.03
81,W30X148,148,43.6,30.7,10.5,0.65,1.18,4.44,41.6,6680,500,436,12.4,227,68,43.3,2.28,14.5,49400,2.77
82,W30X132,132,38.8,30.3,10.5,0.615,1,5.27,43.9,5770,437,380,12.2,196,58.4,37.2,2.25,9.72,42100,2.75
83,W30X124,124,36.5,30.2,10.5,0.585,0.93,5.65,46.2,5360,408,355,12.1,181,54,34.4,2.23,7.99,38600,2.73
84,W30X116,116,34.2,30,10.5,0.565,0.85,6.17,47.8,4930,378,329,12,164,49.2,31.3,2.19,6.43,34900,2.7
85,W30X108,108,31.7,29.8,10.5,0.545,0.76,6.89,49.6,4470,346,299,11.9,146,43.9,27.9,2.15,4.99,30900,2.67
86,W30X99,99,29,29.7,10.5,0.52,0.67,7.8,51.9,3990,312,269,11.7,128,38.6,24.5,2.1,3.77,26800,2.62
87,W30X90,90,26.3,29.5,10.4,0.47,0.61,8.52,57.5,3610,283,245,11.7,115,34.7,22.1,2.09,2.84,24000,2.6
88,W27X539,539,159,32.5,15.3,1.97,3.54,2.15,12.1,25600,1890,1570,12.7,2110,437,277,3.65,496,443000,4.41
89,W27X368,368,109,30.4,14.7,1.38,2.48,2.96,17.3,16200,1240,1060,12.2,1310,279,179,3.48,170,255000,4.15
90,W27X336,336,99.2,30,14.6,1.26,2.28,3.19,18.9,14600,1130,972,12.1,1180,252,162,3.45,131,226000,4.1
91,W27X307,307,90.2,29.6,14.4,1.16,2.09,3.46,20.6,13100,1030,887,12,1050,227,146,3.41,101,199000,4.04
92,W27X281,281,83.1,29.3,14.4,1.06,1.93,3.72,22.5,11900,936,814,12,953,206,133,3.39,79.5,178000,4
93,W27X258,258,76.1,29,14.3,0.98,1.77,4.03,24.4,10800,852,745,11.9,859,187,120,3.36,61.6,159000,3.96
94,W27X235,235,69.4,28.7,14.2,0.91,1.61,4.41,26.2,9700,772,677,11.8,769,168,108,3.33,47,141000,3.92
95,W27X217,217,63.9,28.4,14.1,0.83,1.5,4.71,28.7,8910,711,627,11.8,704,154,100,3.32,37.6,128000,3.89
96,W27X194,194,57.1,28.1,14,0.75,1.34,5.24,31.8,7860,631,559,11.7,619,136,88.1,3.29,27.1,111000,3.85
97,W27X178,178,52.5,27.8,14.1,0.725,1.19,5.92,32.9,7020,570,505,11.6,555,122,78.8,3.25,20.1,98400,3.83
98,W27X161,161,47.6,27.6,14,0.66,1.08,6.49,36.1,6310,515,458,11.5,497,109,70.9,3.23,15.1,87300,3.79
99,W27X146,146,43.2,27.4,14,0.605,0.975,7.16,39.4,5660,464,414,11.5,443,97.7,63.5,3.2,11.3,77200,3.76
100,W27X129,129,37.8,27.6,10,0.61,1.1,4.55,39.7,4760,395,345,11.2,184,57.6,36.8,2.21,11.1,32500,2.66
101,W27X114,114,33.6,27.3,10.1,0.57,0.93,5.41,42.5,4080,343,299,11,159,49.3,31.5,2.18,7.33,27600,2.65
102,W27X102,102,30,27.1,10,0.515,0.83,6.03,47.1,3620,305,267,11,139,43.4,27.8,2.15,5.28,24000,2.62
103,W27X94,94,27.6,26.9,10,0.49,0.745,6.7,49.5,3270,278,243,10.9,124,38.8,24.8,2.12,4.03,21300,2.59
104,W27X84,84,24.7,26.7,10,0.46,0.64,7.78,52.7,2850,244,213,10.7,106,33.2,21.2,2.07,2.81,17900,2.54
105,W24X370,370,109,28,13.7,1.52,2.72,2.51,14.2,13400,1130,957,11.1,1160,267,170,3.27,201,186000,3.92
106,W24X335,335,98.3,27.5,13.5,1.38,2.48,2.73,15.6,11900,1020,864,11,1030,238,152,3.23,152,161000,3.86
107,W24X306,306,89.7,27.1,13.4,1.26,2.28,2.94,17.1,10700,922,789,10.9,919,214,137,3.2,117,142000,3.81
108,W24X279,279,81.9,26.7,13.3,1.16,2.09,3.18,18.6,9600,835,718,10.8,823,193,124,3.17,90.5,125000,3.76
109,W24X250,250,73.5,26.3,13.2,1.04,1.89,3.49,20.7,8490,744,644,10.7,724,171,110,3.14,66.6,108000,3.71
110,W24X229,229,67.2,26,13.1,0.96,1.73,3.79,22.5,7650,675,588,10.7,651,154,99.4,3.11,51.3,96100,3.67
111,W24X207,207,60.7,25.7,13,0.87,1.57,4.14,24.8,6820,606,531,10.6,578,137,88.8,3.08,38.3,84100,3.62
112,W24X192,192,56.5,25.5,13,0.81,1.46,4.43,26.6,6260,559,491,10.5,530,126,81.8,3.07,30.8,76300,3.6
113,W24X176,176,51.7,25.2,12.9,0.75,1.34,4.81,28.7,5680,511,450,10.5,479,115,74.3,3.04,23.9,68400,3.57
114,W24X162,162,47.8,25,13,0.705,1.22,5.31,30.6,5170,468,414,10.4,443,105,68.4,3.05,18.5,62600,3.57
115,W24X146,146,43,24.7,12.9,0.65,1.09,5.92,33.2,4580,418,371,10.3,391,93.2,60.5,3.01,13.4,54600,3.53
116,W24X131,131,38.6,24.5,12.9,0.605,0.96,6.7,35.6,4020,370,329,10.2,340,81.5,53,2.97,9.5,47100,3.49
117,W24X117,117,34.4,24.3,12.8,0.55,0.85,7.53,39.2,3540,327,291,10.1,297,71.4,46.5,2.94,6.72,40800,3.46
118,W24X104,104,30.7,24.1,12.8,0.5,0.75,8.5,43.1,3100,289,258,10.1,259,62.4,40.7,2.91,4.72,35200,3.42
119,W24X103,103,30.3,24.5,9,0.55,0.98,4.59,39.2,3000,280,245,10,119,41.5,26.5,1.99,7.07,16600,2.4
120,W24X94,94,27.7,24.3,9.07,0.515,0.875,5.18,41.9,2700,254,222,9.87,109,37.5,24,1.98,5.26,15000,2.4
121,W24X84,84,24.7,24.1,9.02,0.47,0.77,5.86,45.9,2370,224,196,9.79,94.4,32.6,20.9,1.95,3.7,12800,2.37
122,W24X76,76,22.4,23.9,8.99,0.44,0.68,6.61,49,2100,200,176,9.69,82.5,28.6,18.4,1.92,2.68,11100,2.33
123,W24X68,68,20.1,23.7,8.97,0.415,0.585,7.66,52,1830,177,154,9.55,70.4,24.5,15.7,1.87,1.87,9430,2.3
124,W24X62,62,18.2,23.7,7.04,0.43,0.59,5.97,50.1,1550,153,131,9.23,34.5,15.7,9.8,1.38,1.71,4620,1.75
125,W24X55,55,16.2,23.6,7.01,0.395,0.505,6.94,54.6,1350,134,114,9.11,29.1,13.3,8.3,1.34,1.18,3870,1.72
126,W21X275,275,81.8,24.1,12.9,1.22,2.19,2.95,14.2,7690,749,638,9.7,787,191,122,3.1,107,94400,3.68
127,W21X248,248,73.8,23.7,12.8,1.1,1.99,3.22,15.8,6830,671,576,9.62,699,170,109,3.08,80.7,82400,3.63
128,W21X223,223,66.5,23.4,12.7,1,1.79,3.55,17.5,6080,601,520,9.56,614,150,96.7,3.04,59.5,71700,3.57
129,W21X201,201,59.3,23,12.6,0.91,1.63,3.86,20.6,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,3.55
130,W21X182,182,53.6,22.7,12.5,0.83,1.48,4.22,22.6,4730,476,417,9.4,483,119,77.2,3,30.7,54400,3.51
131,W21X166,166,48.8,22.5,12.4,0.75,1.36,4.57,25,4280,432,380,9.36,435,108,70,2.99,23.6,48500,3.48
132,W21X147,147,43.2,22.1,12.5,0.72,1.15,5.44,26.1,3630,373,329,9.17,376,92.6,60.1,2.95,15.4,41100,3.46
133,W21X132,132,38.8,21.8,12.4,0.65,1.04,6.01,28.9,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,3.43
134,W21X122,122,35.9,21.7,12.4,0.6,0.96,6.45,31.3,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,3.4
135,W21X111,111,32.6,21.5,12.3,0.55,0.875,7.05,34.1,2670,279,249,9.05,274,68.2,44.5,2.9,6.83,29200,3.37
136,W21X101,101,29.8,21.4,12.3,0.5,0.8,7.68,37.5,2420,253,227,9.02,248,61.7,40.3,2.89,5.21,26200,3.35
137,W21X93,93,27.3,21.6,8.42,0.58,0.93,4.53,32.3,2070,221,192,8.7,92.9,34.7,22.1,1.84,6.03,9940,2.24
138,W21X83,83,24.4,21.4,8.36,0.515,0.835,5,36.4,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,2.21
139,W21X73,73,21.5,21.2,8.3,0.455,0.74,5.6,41.2,1600,172,151,8.64,70.6,26.6,17,1.81,3.02,7410,2.19
140,W21X68,68,20,21.1,8.27,0.43,0.685,6.04,43.6,1480,160,140,8.6,64.7,24.4,15.7,1.8,2.45,6760,2.17
141,W21X62,62,18.3,21,8.24,0.4,0.615,6.7,46.9,1330,144,127,8.54,57.5,21.7,14,1.77,1.83,5960,2.15
142,W21X55,55,16.2,20.8,8.22,0.375,0.522,7.87,50,1140,126,110,8.4,48.4,18.4,11.8,1.73,1.24,4980,2.11
143,W21X48,48,14.1,20.6,8.14,0.35,0.43,9.47,53.6,959,107,93,8.24,38.7,14.9,9.52,1.66,0.803,3950,2.05
144,W21X57,57,16.7,21.1,6.56,0.405,0.65,5.04,46.3,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,1.68
145,W21X50,50,14.7,20.8,6.53,0.38,0.535,6.1,49.4,984,110,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570,1.64
146,W21X44,44,13,20.7,6.5,0.35,0.45,7.22,53.6,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110,1.6
147,W18X311,311,91.6,22.3,12,1.52,2.74,2.19,10.4,6970,754,624,8.72,795,207,132,2.95,176,76200,3.53
148,W18X283,283,83.3,21.9,11.9,1.4,2.5,2.38,11.3,6170,676,565,8.61,704,185,118,2.91,134,65900,3.47
149,W18X258,258,76,21.5,11.8,1.28,2.3,2.56,12.5,5510,611,514,8.53,628,166,107,2.88,103,57600,3.42
150,W18X234,234,68.6,21.1,11.7,1.16,2.11,2.76,13.8,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,3.37
151,W18X211,211,62.3,20.7,11.6,1.06,1.91,3.02,15.1,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,3.32
152,W18X192,192,56.2,20.4,11.5,0.96,1.75,3.27,16.7,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,3.28
153,W18X175,175,51.4,20,11.4,0.89,1.59,3.58,18,3450,398,344,8.2,391,106,68.8,2.76,33.8,33300,3.24
154,W18X158,158,46.3,19.7,11.3,0.81,1.44,3.92,19.8,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,3.2
155,W18X143,143,42,19.5,11.2,0.73,1.32,4.25,22,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,25700,3.17
156,W18X130,130,38.3,19.3,11.2,0.67,1.2,4.65,23.9,2460,290,256,8.03,278,76.7,49.9,2.7,14.5,22700,3.13
157,W18X119,119,35.1,19,11.3,0.655,1.06,5.31,24.5,2190,262,231,7.9,253,69.1,44.9,2.69,10.6,20300,3.13
158,W18X106,106,31.1,18.7,11.2,0.59,0.94,5.96,27.2,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,3.1
159,W18X97,97,28.5,18.6,11.1,0.535,0.87,6.41,30,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,3.08
160,W18X86,86,25.3,18.4,11.1,0.48,0.77,7.2,33.4,1530,186,166,7.77,175,48.4,31.6,2.63,4.1,13600,3.05
161,W18X76,76,22.3,18.2,11,0.425,0.68,8.11,37.8,1330,163,146,7.73,152,42.2,27.6,2.61,2.83,11700,3.02
162,W18X71,71,20.9,18.5,7.64,0.495,0.81,4.71,32.4,1170,146,127,7.5,60.3,24.7,15.8,1.7,3.49,4700,2.05
163,W18X65,65,19.1,18.4,7.59,0.45,0.75,5.06,35.7,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,2.03
164,W18X60,60,17.6,18.2,7.56,0.415,0.695,5.44,38.7,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,2.02
165,W18X55,55,16.2,18.1,7.53,0.39,0.63,5.98,41.1,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,2
166,W18X50,50,14.7,18,7.5,0.355,0.57,6.57,45.2,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,1.98
167,W18X46,46,13.5,18.1,6.06,0.36,0.605,5.01,44.6,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,1.58
168,W18X40,40,11.8,17.9,6.02,0.315,0.525,5.73,50.9,612,78.4,68.4,7.21,19.1,10,6.35,1.27,0.81,1440,1.56
169,W18X35,35,10.3,17.7,6,0.3,0.425,7.06,53.5,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,1.51
170,W16X100,100,29.4,17,10.4,0.585,0.985,5.29,24.3,1490,198,175,7.1,186,54.9,35.7,2.51,7.73,11900,2.92
171,W16X89,89,26.2,16.8,10.4,0.525,0.875,5.92,27,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,2.88
172,W16X77,77,22.6,16.5,10.3,0.455,0.76,6.77,31.2,1110,150,134,7,138,41.1,26.9,2.47,3.57,8590,2.85
173,W16X67,67,19.6,16.3,10.2,0.395,0.665,7.7,35.9,954,130,117,6.96,119,35.5,23.2,2.46,2.39,7300,2.82
174,W16X57,57,16.8,16.4,7.12,0.43,0.715,4.98,33,758,105,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660,1.92
175,W16X50,50,14.7,16.3,7.07,0.38,0.63,5.61,37.4,659,92,81,6.68,37.2,16.3,10.5,1.59,1.52,2270,1.89
176,W16X45,45,13.3,16.1,7.04,0.345,0.565,6.23,41.1,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,1.87
177,W16X40,40,11.8,16,7,0.305,0.505,6.93,46.5,518,73,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,1.86
178,W16X36,36,10.6,15.9,6.99,0.295,0.43,8.12,48.1,448,64,56.5,6.51,24.5,10.8,7,1.52,0.545,1460,1.83
179,W16X31,31,9.13,15.9,5.53,0.275,0.44,6.28,51.6,375,54,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,1.42
180,W16X26,26,7.68,15.7,5.5,0.25,0.345,7.97,56.8,301,44.2,38.4,6.26,9.6,5.48,3.49,1.12,0.262,565,1.38
181,W14X873,873,257,23.6,18.8,3.94,5.51,1.71,2.89,18100,2030,1530,8.39,6170,1020,656,4.9,2270,505000,6.04
182,W14X808,808,238,22.8,18.6,3.74,5.12,1.82,3.04,15900,1830,1390,8.17,5550,930,597,4.83,1840,434000,5.94
183,W14X730,730,215,22.4,17.9,3.07,4.91,1.82,3.71,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,5.68
184,W14X665,665,196,21.6,17.7,2.83,4.52,1.95,4.03,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,5.57
185,W14X605,605,178,20.9,17.4,2.6,4.16,2.09,4.39,10800,1320,1040,7.8,3680,652,423,4.55,869,258000,5.44
186,W14X550,550,162,20.2,17.2,2.38,3.82,2.25,4.79,9430,1180,931,7.63,3250,583,378,4.49,669,219000,5.35
187,W14X500,500,147,19.6,17,2.19,3.5,2.43,5.21,8210,1050,838,7.48,2880,522,339,4.43,514,187000,5.26
188,W14X455,455,134,19,16.8,2.02,3.21,2.62,5.66,7190,936,756,7.33,2560,468,304,4.38,395,160000,5.17
189,W14X426,426,125,18.7,16.7,1.88,3.04,2.75,6.08,6600,869,706,7.26,2360,434,283,4.34,331,144000,5.11
190,W14X398,398,117,18.3,16.6,1.77,2.85,2.92,6.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,5.05
191,W14X370,370,109,17.9,16.5,1.66,2.66,3.1,6.89,5440,736,607,7.07,1990,370,241,4.27,222,116000,5
192,W14X342,342,101,17.5,16.4,1.54,2.47,3.31,7.41,4900,672,558,6.98,1810,338,221,4.24,178,103000,4.95
193,W14X311,311,91.4,17.1,16.2,1.41,2.26,3.59,8.09,4330,603,506,6.88,1610,304,199,4.2,136,89100,4.87
194,W14X283,283,83.3,16.7,16.1,1.29,2.07,3.89,8.84,3840,542,459,6.79,1440,274,179,4.17,104,77700,4.8
195,W14X257,257,75.6,16.4,16,1.18,1.89,4.23,9.71,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,4.75
196,W14X233,233,68.5,16,15.9,1.07,1.72,4.62,10.7,3010,436,375,6.63,1150,221,145,4.1,59.5,59000,4.69
197,W14X211,211,62,15.7,15.8,0.98,1.56,5.06,11.6,2660,390,338,6.55,1030,198,130,4.07,44.6,51500,4.64
