index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
714,WT9X117,117,34.3,10.5,11.7,1.16,2.11,2.76,0,261,62.4,32.7,2.75,279,74.4,47.9,2.85,39.1,140,0
715,WT9X105.5,105.5,31.2,10.3,11.6,1.06,1.91,3.02,0,229,55,29.1,2.72,246,66.1,42.7,2.82,29.1,102,0
716,WT9X96,96,28.1,10.2,11.5,0.96,1.75,3.27,0,202,48.5,25.8,2.68,220,59.4,38.4,2.79,22.3,75.7,0
717,WT9X87.5,87.5,25.7,10,11.4,0.89,1.59,3.58,0,181,43.6,23.4,2.66,196,53.1,34.4,2.76,16.8,56.5,0
718,WT9X79,79,23.2,9.86,11.3,0.81,1.44,3.92,0,160,38.5,20.8,2.63,174,47.4,30.7,2.74,12.5,41.2,0
719,WT9X71.5,71.5,21,9.75,11.2,0.73,1.32,4.25,0,142,34,18.5,2.6,156,42.7,27.7,2.72,9.58,30.7,0
720,WT9X65,65,19.2,9.63,11.2,0.67,1.2,4.65,0,127,30.5,16.7,2.58,139,38.3,24.9,2.7,7.23,22.8,0
721,WT9X59.5,59.5,17.6,9.49,11.3,0.655,1.06,5.31,0,119,28.7,15.9,2.6,126,34.5,22.5,2.69,5.3,17.4,0
722,WT9X53,53,15.6,9.37,11.2,0.59,0.94,5.96,0,104,25.2,14.1,2.59,110,30.2,19.7,2.66,3.73,12.1,0
723,WT9X48.5,48.5,14.2,9.3,11.1,0.535,0.87,6.41,0,93.8,22.6,12.7,2.56,100,27.6,18,2.65,2.92,9.29,0
724,WT9X43,43,12.7,9.2,11.1,0.48,0.77,7.2,0,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,2.04,6.42,0
725,WT9X38,38,11.1,9.11,11,0.425,0.68,8.11,0,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,1.41,4.37,0
726,WT9X35.5,35.5,10.4,9.24,7.64,0.495,0.81,4.71,0,78.2,20,11.2,2.74,30.1,12.3,7.89,1.7,1.74,3.96,0
727,WT9X32.5,32.5,9.55,9.18,7.59,0.45,0.75,5.06,0,70.7,18,10.1,2.72,27.4,11.2,7.22,1.69,1.36,3.01,0
728,WT9X30,30,8.82,9.12,7.56,0.415,0.695,5.44,0,64.7,16.5,9.29,2.71,25,10.3,6.63,1.68,1.08,2.35,0
729,WT9X27.5,27.5,8.1,9.06,7.53,0.39,0.63,5.98,0,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.83,1.84,0
730,WT9X25,25,7.34,9,7.5,0.355,0.57,6.57,0,53.5,13.8,7.79,2.7,20,8.28,5.35,1.65,0.619,1.36,0
731,WT9X23,23,6.77,9.03,6.06,0.36,0.605,5.01,0,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.609,1.2,0
732,WT9X20,20,5.88,8.95,6.02,0.315,0.525,5.73,0,44.8,12,6.73,2.76,9.55,4.97,3.17,1.27,0.404,0.788,0
733,WT9X17.5,17.5,5.15,8.85,6,0.3,0.425,7.06,0,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.252,0.598,0
734,WT8X50,50,14.7,8.49,10.4,0.585,0.985,5.29,0,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,3.85,10.4,0
735,WT8X44.5,44.5,13.1,8.38,10.4,0.525,0.875,5.92,0,67.2,18.1,10.1,2.27,81.3,24,15.7,2.49,2.72,7.19,0
736,WT8X38.5,38.5,11.3,8.26,10.3,0.455,0.76,6.77,0,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,1.78,4.61,0
737,WT8X33.5,33.5,9.81,8.17,10.2,0.395,0.665,7.7,0,48.6,13,7.36,2.22,59.5,17.7,11.6,2.46,1.19,3.01,0
738,WT8X28.5,28.5,8.39,8.22,7.12,0.43,0.715,4.98,0,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.6,1.1,1.99,0
739,WT8X25,25,7.37,8.13,7.07,0.38,0.63,5.61,0,42.3,12,6.78,2.4,18.6,8.15,5.26,1.59,0.76,1.34,0
740,WT8X22.5,22.5,6.63,8.07,7.04,0.345,0.565,6.23,0,37.8,10.8,6.1,2.39,16.4,7.22,4.67,1.57,0.555,0.974,0
741,WT8X20,20,5.89,8.01,7,0.305,0.505,6.93,0,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0.396,0.673,0
742,WT8X18,18,5.29,7.93,6.99,0.295,0.43,8.12,0,30.6,8.93,5.05,2.41,12.2,5.42,3.5,1.52,0.272,0.516,0
743,WT8X15.5,15.5,4.56,7.94,5.53,0.275,0.44,6.28,0,27.5,8.27,4.64,2.45,6.2,3.51,2.24,1.17,0.23,0.366,0
744,WT8X13,13,3.84,7.85,5.5,0.25,0.345,7.97,0,23.5,7.36,4.09,2.47,4.79,2.73,1.74,1.12,0.13,0.243,0
745,WT7X436.5,436.5,129,11.8,18.8,3.94,5.51,1.71,0,1040,281,131,2.84,3080,511,328,4.89,1110,8980,0
746,WT7X404,404,119,11.4,18.6,3.74,5.12,1.82,0,898,249,116,2.75,2770,465,298,4.82,898,7000,0
747,WT7X365,365,107,11.2,17.9,3.07,4.91,1.82,0,739,211,95.4,2.62,2360,408,264,4.69,714,5250,0
748,WT7X332.5,332.5,97.8,10.8,17.7,2.83,4.52,1.95,0,622,182,82.1,2.52,2080,365,236,4.62,555,3920,0
749,WT7X302.5,302.5,89,10.5,17.4,2.6,4.16,2.09,0,524,157,70.6,2.43,1840,326,211,4.55,430,2930,0
750,WT7X275,275,80.9,10.1,17.2,2.38,3.82,2.25,0,442,136,60.9,2.34,1630,292,189,4.49,331,2180,0
751,WT7X250,250,73.5,9.8,17,2.19,3.5,2.43,0,375,117,52.7,2.26,1440,261,169,4.43,254,1620,0
752,WT7X227.5,227.5,66.9,9.51,16.8,2.02,3.21,2.62,0,321,102,45.9,2.19,1280,234,152,4.38,196,1210,0
753,WT7X213,213,62.7,9.34,16.7,1.88,3.04,2.75,0,287,91.7,41.4,2.14,1180,217,141,4.34,164,991,0
754,WT7X199,199,58.4,9.15,16.6,1.77,2.85,2.92,0,257,82.9,37.6,2.1,1090,201,131,4.31,135,801,0
755,WT7X185,185,54.4,8.96,16.5,1.66,2.66,3.1,0,229,74.4,33.9,2.05,994,185,121,4.27,110,640,0
756,WT7X171,171,50.3,8.77,16.4,1.54,2.47,3.31,0,203,66.2,30.4,2.01,903,169,110,4.24,88.3,502,0
757,WT7X155.5,155.5,45.7,8.56,16.2,1.41,2.26,3.59,0,176,57.7,26.7,1.96,807,152,99.4,4.2,67.5,375,0
758,WT7X141.5,141.5,41.6,8.37,16.1,1.29,2.07,3.89,0,153,50.4,23.5,1.92,722,137,89.7,4.17,51.8,281,0
759,WT7X128.5,128.5,37.8,8.19,16,1.18,1.89,4.23,0,133,43.9,20.7,1.88,645,123,80.7,4.13,39.3,209,0
760,WT7X116.5,116.5,34.2,8.02,15.9,1.07,1.72,4.62,0,116,38.2,18.2,1.84,576,110,72.5,4.1,29.6,154,0
761,WT7X105.5,105.5,31,7.86,15.8,0.98,1.56,5.06,0,102,33.4,16.2,1.81,513,98.9,65,4.07,22.2,113,0
762,WT7X96.5,96.5,28.4,7.74,15.7,0.89,1.44,5.45,0,89.8,29.4,14.4,1.78,466,90.1,59.3,4.05,17.3,87.2,0
763,WT7X88,88,25.9,7.61,15.7,0.83,1.31,5.97,0,80.5,26.3,13,1.76,419,81.3,53.5,4.02,13.2,65.2,0
764,WT7X79.5,79.5,23.4,7.49,15.6,0.745,1.19,6.54,0,70.2,22.8,11.4,1.73,374,73,48.1,4,9.84,47.9,0
765,WT7X72.5,72.5,21.3,7.39,15.5,0.68,1.09,7.11,0,62.5,20.2,10.2,1.71,338,66.2,43.7,3.98,7.56,36.3,0
766,WT7X66,66,19.4,7.33,14.7,0.645,1.03,7.15,0,57.8,18.6,9.57,1.73,274,56.5,37.2,3.76,6.13,26.6,0
767,WT7X60,60,17.7,7.24,14.7,0.59,0.94,7.8,0,51.7,16.5,8.61,1.71,247,51.2,33.7,3.74,4.67,20,0
768,WT7X54.5,54.5,16,7.16,14.6,0.525,0.86,8.49,0,45.3,14.4,7.56,1.68,223,46.3,30.6,3.73,3.55,15,0
769,WT7X49.5,49.5,14.6,7.08,14.6,0.485,0.78,9.34,0,40.9,12.9,6.88,1.67,201,41.8,27.6,3.71,2.68,11.1,0
770,WT7X45,45,13.2,7.01,14.5,0.44,0.71,10.2,0,36.5,11.5,6.16,1.66,181,37.8,25,3.7,2.03,8.31,0
771,WT7X41,41,12,7.16,10.1,0.51,0.855,5.92,0,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,2.53,5.63,0
772,WT7X37,37,10.9,7.09,10.1,0.45,0.785,6.41,0,36,11.5,6.25,1.82,66.9,20.2,13.3,2.48,1.93,4.19,0
773,WT7X34,34,10,7.02,10,0.415,0.72,6.97,0,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,1.5,3.21,0
774,WT7X30.5,30.5,8.96,6.95,10,0.375,0.645,7.75,0,28.9,9.15,5.07,1.8,53.7,16.4,10.7,2.45,1.09,2.29,0
775,WT7X26.5,26.5,7.8,6.96,8.06,0.37,0.66,6.11,0,27.6,8.87,4.94,1.88,28.8,11,7.15,1.92,0.967,1.46,0
776,WT7X24,24,7.07,6.9,8.03,0.34,0.595,6.75,0,24.9,8,4.49,1.88,25.7,9.8,6.4,1.91,0.723,1.07,0
777,WT7X21.5,21.5,6.31,6.83,8,0.305,0.53,7.54,0,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0.522,0.751,0
778,WT7X19,19,5.58,7.05,6.77,0.31,0.515,6.57,0,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0.398,0.554,0
779,WT7X17,17,5,6.99,6.75,0.285,0.455,7.41,0,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0.284,0.4,0
780,WT7X15,15,4.42,6.92,6.73,0.27,0.385,8.74,0,19,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0.19,0.287,0
781,WT7X13,13,3.85,6.96,5.03,0.255,0.42,5.98,0,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0.179,0.207,0
782,WT7X11,11,3.25,6.87,5,0.23,0.335,7.46,0,14.8,5.2,2.91,2.14,3.5,2.19,1.4,1.04,0.104,0.134,0
783,WT6X168,168,49.5,8.41,13.4,1.78,2.96,2.26,0,190,68.4,31.2,1.96,593,137,88.6,3.47,120,481,0
784,WT6X152.5,152.5,44.7,8.16,13.2,1.63,2.71,2.45,0,162,59.1,27,1.9,525,122,79.3,3.42,92,356,0
785,WT6X139.5,139.5,41,7.93,13.1,1.53,2.47,2.66,0,141,51.9,24.1,1.86,469,110,71.3,3.38,70.9,267,0
786,WT6X126,126,37.1,7.71,13,1.4,2.25,2.89,0,121,44.8,20.9,1.81,414,97.9,63.6,3.34,53.5,195,0
787,WT6X115,115,33.8,7.53,12.9,1.29,2.07,3.11,0,106,39.4,18.5,1.77,371,88.4,57.5,3.31,41.6,148,0
788,WT6X105,105,30.9,7.36,12.8,1.18,1.9,3.37,0,92.1,34.5,16.4,1.73,332,79.7,51.9,3.28,32.1,112,0
789,WT6X95,95,28,7.19,12.7,1.06,1.74,3.65,0,79,29.8,14.2,1.68,295,71.2,46.5,3.25,24.3,82.1,0
790,WT6X85,85,25,7.02,12.6,0.96,1.56,4.03,0,67.8,25.6,12.3,1.65,259,62.9,41.2,3.22,17.7,58.3,0
791,WT6X76,76,22.4,6.86,12.5,0.87,1.4,4.46,0,58.5,22,10.8,1.62,227,55.6,36.4,3.19,12.8,41.3,0
792,WT6X68,68,20,6.71,12.4,0.79,1.25,4.96,0,50.6,19,9.46,1.59,199,48.9,32.1,3.16,9.21,28.9,0
793,WT6X60,60,17.6,6.56,12.3,0.71,1.11,5.57,0,43.4,16.2,8.22,1.57,172,42.7,28,3.13,6.42,19.7,0
794,WT6X53,53,15.6,6.45,12.2,0.61,0.99,6.17,0,36.3,13.6,6.92,1.53,151,37.5,24.7,3.11,4.55,13.6,0
795,WT6X48,48,14.1,6.36,12.2,0.55,0.9,6.76,0,32,11.9,6.12,1.51,135,33.7,22.2,3.09,3.42,10.1,0
796,WT6X43.5,43.5,12.8,6.27,12.1,0.515,0.81,7.48,0,28.9,10.7,5.6,1.5,120,30.2,19.9,3.07,2.54,7.34,0
797,WT6X39.5,39.5,11.6,6.19,12.1,0.47,0.735,8.22,0,25.8,9.49,5.03,1.49,108,27.1,17.9,3.05,1.91,5.43,0
798,WT6X36,36,10.6,6.13,12,0.43,0.67,8.99,0,23.2,8.48,4.54,1.48,97.5,24.6,16.2,3.04,1.46,4.07,0
799,WT6X32.5,32.5,9.54,6.06,12,0.39,0.605,9.92,0,20.6,7.5,4.06,1.47,87.2,22,14.5,3.02,1.09,2.97,0
800,WT6X29,29,8.52,6.1,10,0.36,0.64,7.82,0,19.1,6.97,3.76,1.5,53.5,16.2,10.7,2.51,1.05,2.08,0
801,WT6X26.5,26.5,7.78,6.03,10,0.345,0.575,8.69,0,17.7,6.46,3.54,1.51,47.9,14.5,9.58,2.48,0.788,1.53,0
802,WT6X25,25,7.3,6.1,8.08,0.37,0.64,6.31,0,18.7,6.88,3.79,1.6,28.2,10.6,6.97,1.96,0.855,1.23,0
803,WT6X22.5,22.5,6.56,6.03,8.05,0.335,0.575,7,0,16.6,6.1,3.39,1.59,25,9.47,6.21,1.95,0.627,0.885,0
804,WT6X20,20,5.84,5.97,8.01,0.295,0.515,7.77,0,14.4,5.28,2.95,1.57,22,8.38,5.5,1.94,0.452,0.62,0
805,WT6X17.5,17.5,5.17,6.25,6.56,0.3,0.52,6.31,0,16,5.71,3.23,1.76,12.2,5.73,3.73,1.54,0.369,0.437,0
806,WT6X15,15,4.4,6.17,6.52,0.26,0.44,7.41,0,13.5,4.83,2.75,1.75,10.2,4.78,3.12,1.52,0.228,0.267,0
807,WT6X13,13,3.82,6.11,6.49,0.23,0.38,8.54,0,11.7,4.2,2.4,1.75,8.66,4.08,2.67,1.51,0.15,0.174,0
808,WT6X11,11,3.24,6.16,4.03,0.26,0.425,4.74,0,11.7,4.63,2.59,1.9,2.33,1.83,1.15,0.847,0.146,0.137,0
809,WT6X9.5,9.5,2.79,6.08,4.01,0.235,0.35,5.72,0,10.1,4.11,2.28,1.9,1.88,1.49,0.939,0.821,0.0899,0.0934,0
810,WT6X8,8,2.36,6,3.99,0.22,0.265,7.53,0,8.7,3.72,2.04,1.92,1.41,1.13,0.706,0.773,0.0511,0.0678,0
811,WT6X7,7,2.08,5.96,3.97,0.2,0.225,8.82,0,7.67,3.32,1.83,1.92,1.18,0.947,0.593,0.753,0.035,0.0493,0
812,WT5X56,56,16.5,5.68,10.4,0.755,1.25,4.17,0,28.6,13.4,6.4,1.32,118,34.6,22.6,2.67,7.5,16.9,0
813,WT5X50,50,14.7,5.55,10.3,0.68,1.12,4.62,0,24.5,11.4,5.56,1.29,103,30.5,20,2.65,5.41,11.9,0
814,WT5X44,44,13,5.42,10.3,0.605,0.99,5.18,0,20.8,9.65,4.77,1.27,89.3,26.5,17.4,2.63,3.75,8.02,0
815,WT5X38.5,38.5,11.3,5.3,10.2,0.53,0.87,5.86,0,17.4,8.06,4.05,1.24,76.8,22.9,15.1,2.6,2.55,5.31,0
816,WT5X34,34,10,5.2,10.1,0.47,0.77,6.58,0,14.9,6.85,3.49,1.22,66.7,20,13.2,2.58,1.78,3.62,0
817,WT5X30,30,8.84,5.11,10.1,0.42,0.68,7.41,0,12.9,5.87,3.04,1.21,58.1,17.5,11.5,2.57,1.23,2.46,0
818,WT5X27,27,7.9,5.05,10,0.37,0.615,8.15,0,11.1,5.05,2.64,1.19,51.7,15.6,10.3,2.56,0.909,1.78,0
819,WT5X24.5,24.5,7.21,4.99,10,0.34,0.56,8.93,0,10,4.52,2.39,1.18,46.7,14.1,9.34,2.54,0.693,1.33,0
820,WT5X22.5,22.5,6.63,5.05,8.02,0.35,0.62,6.47,0,10.2,4.65,2.47,1.24,26.7,10.1,6.65,2.01,0.753,0.981,0
821,WT5X19.5,19.5,5.73,4.96,7.99,0.315,0.53,7.53,0,8.84,3.99,2.16,1.24,22.5,8.57,5.64,1.98,0.487,0.616,0
822,WT5X16.5,16.5,4.85,4.87,7.96,0.29,0.435,9.15,0,7.71,3.48,1.93,1.26,18.3,7,4.6,1.94,0.291,0.356,0
823,WT5X15,15,4.42,5.24,5.81,0.3,0.51,5.7,0,9.28,4.01,2.24,1.45,8.35,4.41,2.87,1.37,0.31,0.273,0
824,WT5X13,13,3.81,5.17,5.77,0.26,0.44,6.56,0,7.86,3.39,1.91,1.44,7.05,3.75,2.44,1.36,0.201,0.173,0
825,WT5X11,11,3.24,5.09,5.75,0.24,0.36,7.99,0,6.88,3.02,1.72,1.46,5.71,3.05,1.99,1.33,0.119,0.107,0
826,WT5X9.5,9.5,2.81,5.12,4.02,0.25,0.395,5.09,0,6.68,3.1,1.74,1.54,2.15,1.67,1.07,0.874,0.116,0.0796,0
827,WT5X8.5,8.5,2.5,5.06,4.01,0.24,0.33,6.08,0,6.06,2.9,1.62,1.56,1.78,1.4,0.887,0.844,0.0776,0.061,0
828,WT5X7.5,7.5,2.21,5,4,0.23,0.27,7.41,0,5.45,2.71,1.5,1.57,1.45,1.15,0.723,0.81,0.0518,0.0475,0
829,WT5X6,6,1.77,4.94,3.96,0.19,0.21,9.43,0,4.35,2.2,1.22,1.57,1.09,0.869,0.551,0.785,0.0272,0.0255,0
830,WT4X33.5,33.5,9.84,4.5,8.28,0.57,0.935,4.43,0,10.9,6.29,3.05,1.05,44.3,16.3,10.7,2.12,2.51,3.56,0
831,WT4X29,29,8.54,4.38,8.22,0.51,0.81,5.07,0,9.12,5.25,2.61,1.03,37.5,13.9,9.13,2.1,1.66,2.28,0
832,WT4X24,24,7.05,4.25,8.11,0.4,0.685,5.92,0,6.85,3.94,1.97,0.986,30.5,11.4,7.51,2.08,0.977,1.3,0
833,WT4X20,20,5.87,4.13,8.07,0.36,0.56,7.21,0,5.73,3.25,1.69,0.988,24.5,9.24,6.08,2.04,0.558,0.715,0
834,WT4X17.5,17.5,5.14,4.06,8.02,0.31,0.495,8.1,0,4.82,2.71,1.43,0.968,21.3,8.05,5.31,2.03,0.384,0.48,0
835,WT4X15.5,15.5,4.56,4,8,0.285,0.435,9.19,0,4.28,2.39,1.28,0.969,18.5,7.03,4.64,2.02,0.267,0.327,0
836,WT4X14,14,4.12,4.03,6.54,0.285,0.465,7.03,0,4.23,2.38,1.28,1.01,10.8,5.04,3.31,1.62,0.268,0.23,0
837,WT4X12,12,3.54,3.97,6.5,0.245,0.4,8.12,0,3.53,1.98,1.08,0.999,9.14,4.28,2.81,1.61,0.173,0.144,0
838,WT4X10.5,10.5,3.08,4.14,5.27,0.25,0.4,6.59,0,3.9,2.11,1.18,1.12,4.88,2.84,1.85,1.26,0.141,0.0916,0
839,WT4X9,9,2.63,4.07,5.25,0.23,0.33,7.95,0,3.41,1.86,1.05,1.14,3.98,2.33,1.52,1.23,0.0855,0.0562,0
840,WT4X7.5,7.5,2.22,4.06,4.02,0.245,0.315,6.37,0,3.28,1.91,1.07,1.22,1.7,1.33,0.849,0.876,0.0679,0.0382,0
841,WT4X6.5,6.5,1.92,4,4,0.23,0.255,7.84,0,2.89,1.74,0.974,1.23,1.36,1.07,0.682,0.843,0.0433,0.0269,0
842,WT4X5,5,1.48,3.95,3.94,0.17,0.205,9.61,0,2.15,1.27,0.717,1.2,1.05,0.826,0.531,0.84,0.0212,0.0114,0
843,WT3X12.5,12.5,3.67,3.19,6.08,0.32,0.455,6.68,0,2.29,1.68,0.886,0.789,8.53,4.28,2.81,1.52,0.229,0.171,0
844,WT3X10,10,2.94,3.1,6.02,0.26,0.365,8.25,0,1.76,1.29,0.693,0.774,6.64,3.36,2.21,1.5,0.12,0.0858,0
845,WT3X7.5,7.5,2.21,3,5.99,0.23,0.26,11.5,0,1.41,1.03,0.577,0.797,4.66,2.37,1.56,1.45,0.0504,0.0342,0
846,WT3X8,8,2.37,3.14,4.03,0.26,0.405,4.98,0,1.69,1.25,0.685,0.844,2.21,1.69,1.1,0.966,0.111,0.0426,0
847,WT3X6,6,1.78,3.02,4,0.23,0.28,7.14,0,1.32,1.01,0.564,0.862,1.5,1.16,0.748,0.918,0.0449,0.0178,0
848,WT3X4.5,4.5,1.34,2.95,3.94,0.17,0.215,9.16,0,0.95,0.72,0.408,0.842,1.1,0.856,0.557,0.905,0.0202,0.00736,0
849,WT3X4.25,4.25,1.26,2.92,3.94,0.17,0.195,10.1,0,0.905,0.7,0.397,0.848,0.995,0.778,0.505,0.89,0.0166,0.0062,0
